AWB Code,Order ID,Charged Weight,Warehouse Pincode,Customer Pincode,Zone,Type of Shipment,Billing Amount (Rs.)
1091117222124,2001806232,1.3,121003,507101,d,Forward charges,135
1091117222194,2001806273,1,121003,486886,d,Forward charges,90.2
1091117222931,2001806408,2.5,121003,532484,d,Forward charges,224.6
1091117223244,2001806458,1,121003,143001,b,Forward charges,61.3
1091117229345,2001807012,0.15,121003,515591,d,Forward charges,45.4
1091117229555,2001806686,0.15,121003,326502,d,Forward charges,45.4
1091117229776,2001806885,1,121003,208019,b,Forward charges,61.3
1091117323112,2001807058,1.15,121003,140301,b,Forward charges,89.6
1091117323812,2001807186,0.5,121003,396001,d,Forward charges,45.4
1091117324206,2001807290,0.5,121003,711106,d,Forward charges,45.4
1091117326612,2001807814,0.79,121003,284001,b,Forward charges,61.3
1091117327172,2001807931,0.72,121003,441601,d,Forward charges,90.2
1091117327275,2001807956,1.08,121003,248006,b,Forward charges,89.6
1091117327312,2001807960,1,121003,485001,d,Forward charges,90.2
1091117327695,2001807930,0.15,121003,845438,d,Forward charges,45.4
1091117435005,2001808102,1.28,121003,463106,d,Forward charges,135
1091117435134,2001808118,0.5,121003,140301,b,Forward charges,33
1091117435370,2001808207,0.79,121003,495671,d,Forward charges,90.2
1091117435661,2001808295,0.2,121003,673002,e,Forward and RTO charges,107.3
1091117436383,2001808507,0.79,121003,208002,b,Forward charges,61.3
1091117436464,2001808542,0.86,121003,416010,d,Forward charges,90.2
1091117437050,2001808675,1.2,121003,226010,b,Forward charges,89.6
1091117327496,2001807976,0.7,121003,400705,d,Forward and RTO charges,172.8
1091118547832,2001812838,0.6,121003,262405,b,Forward and RTO charges,102.3
1091119398844,2001816684,0.99,121003,394210,d,Forward and RTO charges,172.8
1091119630264,2001817160,0.7,121003,411014,d,Forward and RTO charges,172.8
1091120014461,2001818390,0.8,121003,783301,e,Forward and RTO charges,213.5
1091120959015,2001821190,1.2,121003,486661,d,Forward and RTO charges,258.9
1091121485824,2001817093,1.3,121003,244001,b,Forward and RTO charges,151.1
1091121666133,2001823564,0.7,121003,492001,d,Forward and RTO charges,172.8
1091121981575,2001825261,1.6,121003,517128,d,Forward and RTO charges,345
1091117957780,2001811192,1.13,121003,562110,d,Forward and RTO charges,258.9
1091121482593,2001809917,0.6,121003,831006,d,Forward and RTO charges,172.8
1091117221940,2001806210,2.92,121003,140604,b,Forward charges,174.5
1091117222065,2001806226,0.68,121003,723146,d,Forward charges,90.2
1091117222080,2001806229,0.71,121003,421204,d,Forward charges,90.2
1091117222135,2001806233,0.78,121003,263139,b,Forward charges,61.3
1091117222146,2001806251,1.27,121003,743263,d,Forward charges,135
1091117222570,2001806338,0.7,121003,392150,d,Forward charges,90.2
1091117223211,2001806446,0.69,121003,382830,d,Forward charges,90.2
1091117224353,2001806533,0.68,121003,711303,d,Forward charges,90.2
1091117224611,2001806547,1,121003,283102,b,Forward charges,61.3
1091117224902,2001806567,1.16,121003,370201,d,Forward charges,135
1091117225016,2001806575,0.68,121003,248001,b,Forward charges,61.3
1091117225484,2001806616,1.08,121003,144001,b,Forward charges,89.6
1091117226221,2001806652,0.69,121003,403401,d,Forward charges,90.2
1091117226674,2001806733,1.13,121003,452001,d,Forward charges,135
1091117226711,2001806735,0.69,121003,721636,d,Forward charges,90.2
1091117226910,2001806726,0.68,121003,831002,d,Forward charges,90.2
1091117227573,2001806776,2.86,121003,226004,b,Forward charges,174.5
1091117227816,2001806801,1.35,121003,248001,b,Forward charges,89.6
