ExternOrderNo,SKU,Order Qty,,
2001827036,8904223818706,1.00,,
2001827036,8904223819093,1.00,,
2001827036,8904223819109,1.00,,
2001827036,8904223818430,1.00,,
2001827036,8904223819277,1.00,,
2001827036,GIFTBOX202002,1.00,,
2001827036,8904223818638,2.00,,
2001827036,SACHETS001,1.00,,
2001825261,8904223819024,4.00,,
2001825261,8904223819291,4.00,,
2001825261,8904223818638,3.00,,
2001825261,8904223818669,1.00,,
2001825261,SACHETS001,1.00,,
2001823564,8904223819291,2.00,,
2001823564,8904223819031,2.00,,
2001823564,8904223819024,2.00,,
2001822466,8904223819468,2.00,,
2001822466,8904223819291,8.00,,
2001821995,8904223819130,1.00,,
2001821995,8904223818706,1.00,,
2001821766,8904223818591,2.00,,
2001821750,8904223818850,1.00,,
2001821750,8904223818430,1.00,,
2001821750,8904223819130,1.00,,
2001821742,8904223819468,1.00,,
2001821679,8904223818430,1.00,,
2001821502,8904223818980,1.00,,
2001821502,8904223819031,2.00,,
2001821502,8904223819024,2.00,,
2001821284,8904223818614,1.00,,
2001821284,8904223819024,1.00,,
2001821190,8904223819321,1.00,,
2001821190,8904223819338,1.00,,
2001821185,8904223818942,2.00,,
2001821185,8904223818683,2.00,,
2001821185,8904223819239,1.00,,
2001821185,8904223819246,1.00,,
2001821185,8904223819253,1.00,,
2001821185,8904223818669,1.00,,
2001821185,8904223819147,1.00,,
2001821185,8904223818850,1.00,,
2001820978,8904223815859,1.00,,
2001820978,8904223817501,1.00,,
2001820690,8904223817273,1.00,,
2001819252,8904223818942,1.00,,
2001819252,8904223818706,1.00,,
2001819252,SACHETS001,1.00,,
2001818390,8904223819147,1.00,,
2001818390,8904223818935,4.00,,
2001818390,8904223818683,1.00,,
2001817160,8904223818478,1.00,,
2001817160,8904223819284,1.00,,
2001817093,8904223816214,1.00,,
2001817093,8904223818874,1.00,,
2001817093,8904223819512,1.00,,
2001817093,8904223818881,1.00,,
2001817093,8904223819291,2.00,,
2001817093,8904223819031,2.00,,
2001817093,8904223819024,2.00,,
2001817093,8904223818553,1.00,,
2001816996,8904223818706,1.00,,
2001816996,8904223818942,1.00,,
2001816996,8904223818850,1.00,,
2001816684,8904223816214,2.00,,
2001816684,8904223818874,2.00,,
2001816684,8904223818935,4.00,,
2001816131,8904223816665,2.00,,
2001816131,8904223819277,1.00,,
2001815688,8904223816214,1.00,,
2001815688,8904223818874,1.00,,
2001814580,8904223818706,1.00,,
2001813009,8904223816214,1.00,,
2001813009,8904223818874,1.00,,
2001813009,8904223818706,1.00,,
2001813009,8904223818942,1.00,,
2001813009,8904223818850,1.00,,
2001812941,8904223818706,1.00,,
2001812941,8904223818942,1.00,,
2001812941,8904223818850,1.00,,
2001812854,8904223818478,1.00,,
2001812854,8904223819130,1.00,,
2001812854,8904223819277,1.00,,
2001812854,8904223819284,1.00,,
2001812854,GIFTBOX202003,1.00,,
2001812854,8904223819291,2.00,,
2001812854,8904223819031,2.00,,
2001812854,8904223819024,2.00,,
2001812838,8904223818980,1.00,,
2001812838,8904223819031,4.00,,
2001812650,8904223819031,4.00,,
2001812650,8904223819017,1.00,,
2001812195,8904223818706,1.00,,
2001812195,8904223818942,1.00,,
2001812195,8904223818850,1.00,,
2001811809,8904223818706,1.00,,
2001811809,8904223818942,1.00,,
2001811809,8904223818850,1.00,,
2001811604,8904223816214,1.00,,
2001811604,8904223818669,2.00,,
2001811604,8904223818683,1.00,,
2001811475,8904223818706,1.00,,
2001811475,8904223818669,1.00,,
2001811475,8904223819499,1.00,,
2001811475,8904223819031,1.00,,
2001811466,8904223818706,1.00,,
2001811466,8904223818850,1.00,,
2001811466,8904223819468,1.00,,
2001811363,8904223815859,1.00,,
2001811363,8904223818751,1.00,,
2001811363,8904223815873,1.00,,
2001811363,8904223815859,1.00,,
2001811306,8904223819352,1.00,,
2001811306,8904223819543,1.00,,
2001811306,8904223819147,1.00,,
2001811306,8904223819468,1.00,,
2001811305,8904223816214,1.00,,
2001811305,8904223819499,1.00,,
2001811305,8904223819505,1.00,,
2001811305,8904223819512,1.00,,
2001811229,8904223819468,1.00,,
2001811229,8904223819345,1.00,,
2001811229,8904223818874,1.00,,
2001811192,8904223816214,1.00,,
2001811192,8904223818874,1.00,,
2001811192,8904223818881,1.00,,
2001811192,8904223819291,2.00,,
2001811192,8904223819031,2.00,,
2001811192,8904223819024,2.00,,
2001811153,8904223818706,1.00,,
2001811153,8904223818850,1.00,,
2001811153,8904223819468,1.00,,
2001811058,8904223818706,1.00,,
2001811058,8904223818942,1.00,,
2001811058,8904223818850,1.00,,
2001811039,8904223818706,1.00,,
2001811039,8904223818683,1.00,,
2001811039,8904223818850,1.00,,
2001810697,8904223818706,1.00,,
2001810697,8904223818850,1.00,,
2001810697,8904223819468,1.00,,
2001810549,8904223819468,1.00,,
2001810549,8904223818454,1.00,,
2001810549,8904223818669,1.00,,
2001810549,8904223818638,2.00,,
