Warehouse Pincode,Customer Pincode,Zone,,
121003,507101,d,,
121003,486886,d,,
121003,532484,d,,
121003,143001,b,,
121003,515591,d,,
121003,326502,d,,
121003,208019,b,,
121003,140301,b,,
121003,396001,d,,
121003,711106,d,,
121003,284001,b,,
121003,441601,d,,
121003,248006,b,,
121003,485001,d,,
121003,845438,d,,
121003,463106,d,,
121003,140301,b,,
121003,495671,d,,
121003,673002,e,,
121003,208002,b,,
121003,416010,d,,
121003,226010,b,,
121003,400705,d,,
121003,262405,b,,
121003,394210,d,,
121003,411014,d,,
121003,783301,e,,
121003,486661,d,,
121003,244001,b,,
121003,492001,d,,
121003,517128,d,,
121003,562110,d,,
121003,831006,d,,
121003,140604,b,,
121003,723146,d,,
121003,421204,d,,
121003,263139,b,,
121003,743263,d,,
121003,392150,d,,
121003,382830,d,,
121003,711303,d,,
121003,283102,b,,
121003,370201,d,,
121003,248001,b,,
121003,144001,b,,
121003,403401,d,,
121003,452001,d,,
121003,721636,d,,
121003,831002,d,,
121003,226004,b,,
121003,248001,b,,
121003,410206,d,,
121003,516503,d,,
121003,742103,d,,
121003,452018,d,,
121003,208001,b,,
121003,244713,b,,
121003,580007,d,,
121003,360005,d,,
121003,313027,b,,
121003,341001,b,,
121003,332715,b,,
121003,302031,b,,
121003,335001,b,,
121003,334004,b,,
121003,321001,b,,
121003,324001,b,,
121003,321608,b,,
121003,302002,b,,
121003,311011,b,,
121003,306302,b,,
121003,313001,b,,
121003,302002,b,,
121003,322255,b,,
121003,302017,b,,
121003,302017,b,,
121003,335512,b,,
121003,313001,b,,
121003,313001,b,,
121003,307026,b,,
121003,327025,b,,
121003,313333,b,,
121003,313001,b,,
121003,342008,b,,
121003,314401,b,,
121003,342301,b,,
121003,313003,b,,
121003,173212,e,,
121003,174101,e,,
121003,173213,e,,
121003,302017,b,,
121003,322201,b,,
121003,314001,b,,
121003,331022,b,,
121003,305801,b,,
121003,335502,b,,
121003,306116,b,,
121003,311001,b,,
121003,302019,b,,
121003,302039,b,,
121003,335803,b,,
121003,335001,b,,
121003,175101,e,,
121003,303903,b,,
121003,342012,b,,
121003,334001,b,,
121003,302031,b,,
121003,302012,b,,
121003,342014,b,,
121003,324005,b,,
121003,302001,b,,
121003,302004,b,,
121003,302018,b,,
121003,302017,b,,
121003,324008,b,,
121003,302020,b,,
121003,302018,b,,
121003,302017,b,,
121003,302012,b,,
121003,325207,b,,
121003,303702,b,,
121003,313301,b,,
121003,173212,e,,
121003,302020,b,,
